,polity2,pop,rgdpna,europe,emp,pl_c,protestnumber
0,-10,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
1,-9,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,7
2,-9,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
3,-9,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
4,-9,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
5,-8,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,8
6,-8,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,5
7,-8,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
8,-8,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,5
9,-8,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
10,-7,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
11,-7,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,5
12,-7,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
13,-7,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,4
14,-7,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
15,-6,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,3
16,-6,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
17,-6,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,2
18,-6,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,10
19,-6,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
20,-5,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
21,-5,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
22,-5,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
23,-5,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
24,-5,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,3
25,-4,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,5
26,-4,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
27,-4,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,2
28,-4,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,5
29,-4,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,3
30,-3,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
31,-3,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,2
32,-3,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,31
33,-3,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,2
34,-3,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,12
35,-2,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,35
36,-2,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
37,-2,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
38,-2,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
39,-2,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,2
40,-1,40.149639673006035,391199.3985785496,1,17.359893423721104,0.49425380802746127,1
