ccode,year,protestnumber,polity2,pop,rgdpna,emp,pl_c,Europe,pop_mean,rgdp_mean,eu,emp_mean
339,1990,5,1.0,3.281453,13526.91796875,1.250096321105957,0.15190241845117877,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1991,8,1.0,3.275438,9739.091796875,1.2437193393707275,0.15755462745801666,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1992,3,5.0,3.2406129999999997,9037.9287109375,0.9934920072555542,0.20383688202604403,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1993,2,5.0,3.1896229999999997,9905.5859375,0.9359274506568909,0.17988914652757124,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1994,1,5.0,3.140634,10727.771484375,1.0086866617202759,0.16248510800337979,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1995,1,5.0,3.106727,12154.5498046875,0.9628795385360718,0.18440051874676605,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1996,1,0.0,3.092034,13260.8251953125,0.9264075756072998,0.23535962064875535,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1997,11,5.0,3.0924709999999997,11823.6357421875,0.9136050343513489,0.21651317500244138,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1998,3,5.0,3.1028979999999997,12888.8017578125,0.9015384912490845,0.25388031113802006,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,1999,1,5.0,3.114851,14628.9404296875,0.8954216241836548,0.2728287983707773,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2000,1,5.0,3.121965,15598.06640625,0.9083248376846313,0.26693049751126113,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2001,1,5.0,3.124093,16836.576171875,0.9177631735801697,0.27973982372798634,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2002,1,7.0,3.123112,17548.990234375,0.9259240627288818,0.30729562756651474,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2003,1,7.0,3.117045,18556.28125,0.9388277530670166,0.36154423640799704,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2004,1,7.0,3.103758,19609.01953125,0.9472781419754028,0.445697125936801,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2005,1,9.0,3.082172,20738.388671875,0.9481549859046936,0.4678292835437349,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2006,1,9.0,3.050741,21864.693359375,0.9473363757133484,0.4834689017396699,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2007,1,9.0,3.010849,23155.873046875,0.943348228931427,0.5407236356461351,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2008,1,9.0,2.968026,24900.9609375,0.9553795456886292,0.5868373444967956,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2009,1,9.0,2.9298859999999998,25736.208984375,0.8875076770782471,0.5180315914490293,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2010,6,9.0,2.9018829999999998,26690.22265625,0.8768762946128845,0.5225510632619997,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2011,3,9.0,2.8860099999999997,27369.60546875,0.8900655508041382,0.5460311849164659,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2012,1,9.0,2.880667,27813.98828125,0.9185364842414856,0.4748464701611853,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2013,3,9.0,2.8832809999999998,28201.3359375,0.8763239979743958,0.48593640361698043,1,40.149639673006035,391199.3985785496,1,17.359893423721104
339,2014,1,9.0,2.8896759999999997,28794.259765625,0.8836793303489685,0.48274313051800244,1,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1990,2,-2.0,25.912364,268930.1875,4.8490729331970215,0.4019504300368702,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1991,2,-2.0,26.554277,265703.03125,5.008993625640869,0.2822033768697113,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1992,6,-7.0,27.180920999999998,270485.6875,5.117481708526611,0.29910415447078686,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1993,1,-7.0,27.785977,264805.5,5.180058479309082,0.34013952094987526,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1994,1,-7.0,28.362015,262422.25,5.287341594696045,0.29343301345818407,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1995,1,-3.0,28.9043,272394.28125,5.570249080657959,0.2786305832245249,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1996,1,-3.0,29.411838999999997,283562.4375,5.7602009773254395,0.2950303859840917,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1997,1,-3.0,29.887717,286681.625,5.9519243240356445,0.3095183613849005,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1998,1,-3.0,30.336879999999997,301302.40625,6.132040500640869,0.3265966412244487,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,1999,1,-3.0,30.766551,310944.09375,6.215032577514648,0.3010865233056871,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,2000,1,-3.0,31.183657999999998,322759.96875,6.376802444458008,0.2685697339039835,0,40.149639673006035,391199.3985785496,1,17.359893423721104
615,2001,6,-3.0,31.59032,332442.78125,6.7330145835876465,0.26949963456551423,0,40.149639673006035,391199.3985785496,1,17.359893423721104
